;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
-6;-6.3;-6.2;-6.2;-6.2;-6.2;-6.2;-6.1;-6.1;-6.1;-6;-6;-6;-5.9;-5.9;-5.8;-5.8;-5.7;-5.6;-5.6;-5.5;-5.4
-4;-4.3;-4.3;-4.2;-4.2;-4.2;-4.2;-4.1;-4.1;-4.1;-4;-4;-4;-3.9;-3.9;-3.8;-3.8;-3.7;-3.6;-3.6;-3.5;-3.4
-2;-2.3;-2.3;-2.3;-2.2;-2.2;-2.2;-2.1;-2.1;-2.1;-2;-2;-2;-1.9;-1.8;-1.8;-1.7;-1.7;-1.6;-1.5;-1.5;-1.4
0;-0.3;-0.3;-0.3;-0.3;-0.2;-0.2;-0.2;-0.1;-0.1;0;0;0;0.1;0.2;0.2;0.3;0.3;0.4;0.5;0.5;0.6
2;1.7;1.7;1.7;1.7;1.8;1.8;1.8;1.9;1.9;2;2;2;2.1;2.2;2.2;2.3;2.3;2.4;2.5;2.6;2.6
4;3.6;3.7;3.7;3.7;3.7;3.8;3.8;3.9;3.9;3.9;4;4;4.1;4.2;4.2;4.3;4.3;4.4;4.5;4.5;4.6
6;5.6;5.6;5.7;5.7;5.7;5.8;5.8;5.9;5.9;5.9;6;6.1;6.1;6.2;6.2;6.3;6.4;6.4;6.5;6.6;6.6
8;7.6;7.6;7.7;7.7;7.7;7.8;7.8;7.8;7.9;7.9;8;8.1;8.1;8.2;8.2;8.3;8.4;8.4;8.5;8.6;8.6
10;9.6;9.6;9.6;9.7;9.7;9.8;9.8;9.8;9.9;9.9;10;10.1;10.1;10.2;10.2;10.3;10.4;10.4;10.5;10.6;10.7
12;11.5;11.6;11.6;11.7;11.7;11.7;11.8;11.8;11.9;11.9;12;12.1;12.1;12.2;12.2;12.3;12.4;12.4;12.5;12.6;12.7
14;13.5;13.6;13.6;13.7;13.7;13.7;13.8;13.8;13.9;13.9;14;14.1;14.1;14.2;14.2;14.3;14.4;14.5;14.5;14.6;14.7
16;15.5;15.6;15.6;15.7;15.7;15.7;15.8;15.8;15.9;15.9;16;16.1;16.1;16.2;16.3;16.3;16.4;16.5;16.5;16.6;16.7
18;17.5;17.6;17.6;17.6;17.7;17.7;17.8;17.8;17.9;17.9;18;18.1;18.1;18.2;18.3;18.3;18.4;18.5;18.6;18.6;18.7
20;19.5;19.5;19.6;19.6;19.7;19.7;19.8;19.8;19.9;19.9;20;20.1;20.1;20.2;20.3;20.3;20.4;20.5;20.6;20.6;20.7
22;21.5;21.5;21.6;21.6;21.7;21.7;21.8;21.8;21.9;21.9;22;22.1;22.1;22.2;22.3;22.3;22.4;22.5;22.6;22.6;22.7
24;23.4;23.5;23.5;23.6;23.6;23.7;23.8;23.8;23.9;23.9;24;24.1;24.1;24.2;24.3;24.3;24.4;24.5;24.6;24.6;24.7
26;25.4;25.5;25.5;25.6;25.6;25.7;25.8;25.8;25.9;25.9;26;26.1;26.1;26.2;26.3;26.3;26.4;26.5;26.6;26.6;26.7
28;27.4;27.5;27.5;27.6;27.6;27.7;27.8;27.8;27.9;27.9;28;28.1;28.1;28.2;28.3;28.3;28.4;28.5;28.6;28.6;28.7
30;29.4;29.4;29.5;29.6;29.6;29.7;29.7;29.8;29.9;29.9;30;30.1;30.1;30.2;30.3;30.3;30.4;30.5;30.6;30.7;30.7
32;31.4;31.4;31.5;31.6;31.6;31.7;31.7;31.8;31.9;31.9;32;32.1;32.1;32.2;32.3;32.3;32.4;32.5;32.6;32.7;32.8
34;33.4;33.4;33.5;33.5;33.6;33.7;33.7;33.8;33.9;33.9;34;34.1;34.1;34.2;34.3;34.4;34.4;34.5;34.6;34.7;34.8
36;35.4;35.4;35.5;35.5;35.6;35.7;35.7;35.8;35.9;35.9;36;36.1;36.1;36.2;36.3;36.4;36.4;36.5;36.6;36.7;36.8
